"","add","lon","lat"
"1","100 AM Singapore",103.8435656,1.2750063
"2","313@Somerset Singapore",103.838361,1.300898
"3","Aperia Singapore",103.8641669,1.310458
"4","Balestier Hill Shopping Centre Singapore",103.8428618,1.3258546
"5","Bugis Cube Singapore",103.8556572,1.2981918
"6","Bugis Junction Singapore",103.8555261,1.2993754
"7","Bugis+ Singapore",103.8549626,1.3006613
"8","Capitol Piazza Singapore",103.8511619,1.2929876
"9","Cathay Cineleisure Orchard Singapore",103.8363441,1.301527
"10","Clarke Quay Central Singapore",103.8466098,1.2890252
"11","The Centrepoint Singapore",103.8401372,1.3015383
"12","City Square Mall Singapore",103.8561608,1.3114516
"13","City Gate Mall Singapore",103.8625132,1.3022509
"14","CityLink Mall Singapore",103.8551976,1.2913005
"15","Duo Singapore",103.8579913,1.2992641
"16","Far East Plaza Singapore",103.8336949,1.307547
"17","Funan Singapore",103.8501932,1.2912647
"18","Great World City Singapore",103.8319293,1.2936417
"19","HDB Hub Singapore",103.8479611,1.3323583
"20","Holland Village Shopping Mall Singapore",103.7953005,1.3102049
"21","ION Orchard Singapore",103.8319512,1.3039288
"22","Junction 8 Singapore",103.8487631,1.3506808
"23","Knightsbridge Singapore",103.8361853,1.3030644
"24","Liat Towers Singapore",103.8305905,1.3051925
"25","Lucky Plaza Singapore",103.8340621,1.3045795
"26","Marina Bay Sands Singapore",103.8609937,1.2846547
"27","The Shoppes at Marina Bay Sands Singapore",103.8600338,1.2842759
"28","Marina Bay Link Mall Singapore",103.8543391,1.2795303
"29","Marina Square Singapore",103.8576778,1.2911534
"30","Millenia Walk Singapore",103.8598344,1.2928181
"31","Mustafa Shopping Centre Singapore",103.8558162,1.309637
"32","Ngee Ann City Singapore",103.834568,1.3025572
"33","Orchard Central Singapore",103.8398742,1.3006295
"34","Orchard Gateway Singapore",103.8393516,1.300459
"35","Orchard Plaza Singapore",103.8321984,1.3048205
"36","Midpoint Orchard Singapore",103.8386169,1.3015954
"37","Palais Renaissance Singapore",103.829583,1.3067391
"38","People's Park Centre Singapore",103.842484,1.2841947
"39","People's Park Complex Singapore",103.8425488,1.2841977
"40","Plaza Singapura Singapore",103.8452356,1.3005317
"41","PoMo Singapore",103.8492265,1.3001949
"42","Raffles City Singapore",103.8531473,1.29401
"43","Scotts Square Singapore",103.8329554,1.3058788
"44","Shaw House and Centre Singapore",103.8318472,1.3062932
"45","Sim Lim Square Singapore",103.8529208,1.3030433
"46","Singapore Shopping Centre Singapore",103.8440979,1.2980833
"47","The South Beach Singapore",103.8566136,1.2957395
"48","Square 2 Singapore",103.8441474,1.3208322
"49","Sunshine Plaza Singapore",103.8511253,1.3004038
"50","Suntec City Singapore",103.8583026,1.29503
"51","Tanglin Mall Singapore",103.8238278,1.3048437
"52","Tanjong Pagar Centre Singapore",103.8458291,1.276951
"53","Tekka Centre Singapore",103.850654,1.306251
"54","The Adelphi Singapore",103.8512167,1.2911845
"55","The Paragon Singapore",103.8360565,1.3039633
"56","Tiong Bahru Plaza Singapore",103.8271508,1.2864763
"57","The Poiz Singapore",103.8674327,1.3310663
"58","Thomson Plaza Singapore",103.8308,1.3548
"59","United Square Singapore",103.8436045,1.3171849
"60","Velocity@Novena Square Singapore",103.8439137,1.3200049
"61","Wheelock Place Singapore",103.8305375,1.3047145
"62","Wisma Atria Singapore",103.8332642,1.3037148
"63","Zhongshan Mall Singapore",103.8464431,1.3270618
"64","Bedok Mall Singapore",103.9293061,1.3243963
"65","Bedok Point Singapore",103.9323811,1.3249305
"66","Century Square Singapore",103.9438567,1.3523888
"67","Our Tampines Hub Singapore",103.9403612,1.3531079
"68","Changi City Point Singapore",103.9627387,1.3342732
"69","Downtown East Singapore",103.9546233,1.3776279
"70","Djitsun Mall Bedok Singapore",103.9295407,1.3261273
"71","Eastpoint Mall Singapore",103.9530415,1.3427145
"72","Jewel Changi Airport Singapore",103.9897593,1.3602082
"73","KINEX  Singapore",103.8947554,1.3147221
"74","Katong Shopping Centre Singapore",103.9011732,1.303903
"75","Katong Square Singapore",103.9046894,1.3047255
"76","Kallang Wave Mall Singapore",103.8728714,1.3032243
"77","Leisure Park Kallang Singapore",103.8765402,1.3023423
"78","i12 Katong Singapore",103.9051599,1.3052934
"79","Parkway Parade Singapore",103.9052333,1.3013366
"80","Paya Lebar Square Singapore",103.8925321,1.3191484
"81","Paya Lebar Quarter  Singapore",103.8928037,1.3175284
"82","Roxy Square Singapore",103.9043811,1.3039864
"83","Singpost Centre Singapore",103.894049,1.318903
"84","Tampines 1 Singapore",103.9453692,1.3540351
"85","Tampines Mall Singapore",103.9450627,1.3522589
"86","White Sands Singapore",103.9496584,1.3724166
"87","City Plaza Singapore",103.8934127,1.3147665
"88","Elias Mall Singapore",103.9418722,1.3783052
"89","Loyang Point Singapore",103.9645538,1.3669795
"90","888 Plaza Singapore",103.7955224,1.438178
"91","Admiralty Place Singapore",103.8014491,1.440093
"92","AMK Hub Singapore",103.8484398,1.36953
"93","Canberra Plaza Singapore",103.8305883,1.443306
"94","Causeway Point Singapore",103.7859471,1.4360933
"95","Woodlands Civic Centre Singapore",103.78678,1.4349053
"96","Broadway Plaza Singapore",103.8459981,1.3719487
"97","Djitsun Mall Singapore",103.8477199,1.3728776
"98","Jubilee Square Singapore",103.8476215,1.3717025
"99","Junction 9 Singapore",103.8418547,1.4330624
"100","Marsiling Mall Singapore",103.7797206,1.4334272
"101","Northpoint City Singapore",103.8358671,1.4293478
"102","Sembawang Shopping Centre Singapore",103.8248907,1.4418355
"103","Sun Plaza Singapore",103.8196887,1.4482678
"104","Vista Point Singapore",103.7940801,1.4308341
"105","Wisteria Mall Singapore",103.8411267,1.418208
