id,lat,lon
OPP CEVA LOGISTICS,1.313659229,103.7037147
AFT TRACK 13,1.41605745,103.7005846
BLK 239,1.380208759,103.7708237
GRACE INDEPENDENT CH,1.33653504,103.9555562
BLK 166,1.291127381,103.8024873
TAMPINES STN/INT,1.353766019,103.9461247
AFT CORFE PL,1.360652845,103.8598405
PEC LTD,1.307580859,103.6938362
BLK 527,1.372358179,103.8542504
BLK 536,1.350032954,103.7164453
BLK 148,1.346490131,103.9559075
CONTAINERS PRINTERS,1.327895782,103.6849251
OPP BT TIMAH PLAZA,1.340000384,103.7794382
OPTO-PHARM,1.33392083,103.6448815
BLK 808,1.442535022,103.7868768
AFT BT MERAH CTRL,1.281103867,103.8185213
OPP PARISH OF CHRIST CH,1.311811435,103.8471805
ST ANTHONY'S PR SCH,1.363794376,103.7492261
GAMBIR RIDGE,1.344166299,103.8757024
AFT BLK 1,1.441470802,103.7754954
BLK 747A CP,1.443625067,103.795645
BLK 550,1.33291185,103.9266505
OPP BLK 32,1.322944283,103.9250961
FARMWAY STN EXIT A,1.397363714,103.8889545
GRAND PARK CITY HALL,1.292705421,103.849832
BLK 17A,1.336366588,103.8570955
BLK 601,1.304675003,103.7646251
FARMWAY STN EXIT B,1.39696814,103.8897583
BLK 231A CP,1.37406621,103.9611669
HOUGANG SWIM CPLX,1.369405234,103.8878236
AFT JLN TELAWI,1.364686464,103.9082169
AFT JOO CHIAT PL,1.314543411,103.9099673
OPP SBST ANG MO KIO DEPOT,1.385630609,103.8483242
OPP FUDU WALK P/G,1.389785392,103.8369557
CHIJ KATONG CON,1.307178307,103.917586
OPP MOUNBATTEN STN,1.305117744,103.8829557
OPP TG KATONG RD STH P/G,1.301152972,103.897498
OPP SELARANG PK DRUG REH.,1.370823734,103.9800507
BEF PASIR RIS AVE,1.380384849,103.9463345
ORCHARD PLAZA,1.300711328,103.8410594
OPP HILLBROOKS,1.35893383,103.7620221
AFT NEO TIEW RD,1.437087522,103.7254887
THE CRYSTAL TABERNACLE CH,1.289852072,103.7749663
BLK 269A,1.364570927,103.9633384
AFT SEMBAWANG SHOP CTR,1.440828346,103.82474
WINSLAND HSE,1.299865506,103.8408469
BLK 835,1.350810225,103.9335462
BEF TEBAN GDNS RD,1.319847932,103.7445638
OPP YOUTH FLYING CLUB,1.414644839,103.8618836
FARRER RD MKT,1.316241894,103.8060271
SAFRA MT FABER,1.277050056,103.8180083
YIO CHU KANG INT,1.38106844,103.8456007
OPP THOMSON MED CTR,1.324800945,103.8421078
TAMPINES EAST STN EXIT D,1.357657185,103.9555861
OPP MARINA STH PIER STN,1.271644334,103.8630594
AFT UPP S'GOON RD,1.343664494,103.8738994
LP 30,1.28585291,103.7858569
OPP BLK 139A,1.336268099,103.8432611
AFT TUAS AVE 6,1.324224431,103.6489705
AFT LP 234,1.418651931,103.7545687
OPP THE NEXUS,1.334636194,103.7878561
AFT ANG MO KIO AVE 5,1.37981846,103.8764998
OPP BLK 155,1.376162101,103.8393017
OPP GOODWILL CT,1.312969406,103.9278299
BEF SEMBAWANG STN,1.448422496,103.8219871
MT ALVERNIA HOSP,1.341012926,103.836663
OPP TRACK 14,1.37437275,103.7266485
AFT BEDOK STH AVE 3,1.316143409,103.9447292
BEF HONG KAH FLYOVER,1.356026399,103.7191969
AFT SENGKANG WEST RD,1.389517014,103.8707145
BLK 318,1.328211734,103.9028899
AFT INNOVA PRI SCH,1.428133849,103.7900929
BLK 176,1.347277202,103.7103266
BLK 1003,1.283662095,103.8144893
BLK 139A,1.33633592,103.8435683
AFT CHANGI BIZ PK CRES,1.336924751,103.967817
GALEN,1.286267507,103.7837281
NATL YOUTH COUNCIL,1.300412707,103.8361586
ITE COLLEGE CTRL,1.376009023,103.8558211
OPP CHATSWORTH RD,1.29930981,103.8171352
OPP VILLAGE TWRS,1.31546831,103.7781391
BLK 457,1.350983296,103.7211087
OPP TRACTOR RD,1.323706031,103.7098079
OPP BLK 188,1.399925059,103.9106984
OPP SIS BLDG,1.29187294,103.8144967
OPP KEE WEE HUP KEE,1.333526109,103.6436664
BLK 978,1.340551418,103.6942912
ST JOSEPH'S CH,1.297771326,103.853255
BEF AYER RAJAH CRES,1.293874779,103.789447
OPP BLK 178A,1.388882091,103.9088522
CYCLE & CARRIAGE,1.33384021,103.8984462
ALEXANDRA PT,1.277071186,103.8023588
OPP OLD POLICE ACAD,1.330226802,103.8397479
M.C PACKAGING PTE LTD,1.32229737,103.6775286
JUYING PR SCH,1.338897275,103.6887111
OPP THE GREENWICH,1.388010543,103.8704455
ALEXANDRA RETAIL CTR,1.274632357,103.8018235
OPP ALEXANDRA RETAIL CTR,1.274497064,103.8021608
OPP W'LANDS MART,1.446491188,103.7981127
BEF ANG MO KIO LIB,1.376248191,103.8450013
BLK 630,1.434451338,103.8016953
ASIAWIDE IND BLDG,1.337659626,103.8870639
BUANGKOK STN EXIT B,1.383275756,103.8932605
OPP SEAGATE,1.445996127,103.807181
BEF OLD AIRPORT RD,1.308629955,103.890554
OPP BLK 458,1.377775171,103.8968871
AFT TAGORE DR,1.385168119,103.8228259
BAN JOO,1.306307507,103.7360541
BLK 920,1.339695218,103.6878216
CHAI CHEE IND PK,1.322628462,103.9224348
BLK 617,1.385377683,103.7629239
BEF SIEMENS CTR,1.328417183,103.8708013
MIDVIEW BLDG,1.339828862,103.7568953
BLK 347,1.433093886,103.7811833
ST ANNE'S CH,1.393027471,103.901302
YUSOF ISHAK HSE,1.298920571,103.7743733
BEF SENGKANG EAST AVE,1.385387024,103.8907563
BLK 120,1.33563695,103.8636993
SULTAN PLAZA,1.302850136,103.8616456
BLK 730,1.304922925,103.7626407
BLK 683A,1.43970525,103.8027247
COLD STORAGE JELITA,1.317878244,103.7859072
OPP LEA HIN HARDWARE FTY,1.290917949,103.8073697
OPP MARSILING STN,1.43204738,103.7746001
AIRPORT POLICE STN,1.342188334,103.981848
AZTECH BLDG,1.327023284,103.8920934
CORPORATION PR SCH,1.352225202,103.7077767
BLK 334,1.365130897,103.7478064
OPP MERA TERR P/G,1.346910845,103.9629145
OPP NGEE ANN CITY,1.302137418,103.8342562
OPP BLK 713,1.382687134,103.9385965
BLK 12,1.439993688,103.778422
OPP QUEENS,1.292379911,103.8057256
LAYAR STN EXIT A / BLK 417A,1.391979309,103.8800414
AFT BEDOK RD,1.329359852,103.9507384
BLK 988B,1.379877094,103.8768693
BLK 52,1.288362333,103.8125051
OPP BLK 482,1.373458245,103.9597945
OPP XINMIN PR SCH,1.370669203,103.8823695
PEBBLE BAY,1.297202232,103.8722794
BEF PIONEER RD,1.329047881,103.6370901
BLK 311,1.446670889,103.8228039
AFT KRANJI LK,1.438371045,103.7431923
OPP BLK 288D,1.340567325,103.7441254
BLK 172,1.350839352,103.8898555
BLK 821,1.347214246,103.6941297
SHRIRO HSE,1.288147789,103.8116112
BEF KATONG PO,1.303786262,103.8967689
AFT SG KADUT DR,1.435612544,103.7486135
AFT BLK 353,1.431907293,103.7862592
BLK 290H,1.344141159,103.7582776
J GATEWAY,1.33567827,103.7427326
BEF CANBERRA DR,1.446507924,103.8255817
OPP CANBERRA DR,1.44648878,103.8251386
BLK 118,1.281299517,103.8127259
BLK 668D,1.340912961,103.7026242
BLK 986B,1.382447539,103.8797354
REGENT HTS,1.352484877,103.7554983
LLOYD LEAS WORK REL CAMP,1.365105521,103.9752498
BLK 502,1.375646201,103.9465269
BET BLKS 232 / 233,1.374873881,103.9619358
AFT QUEEN'S AVE,1.455274764,103.831014
AFT CEMY OFFICE,1.372011249,103.6946649
OPP HQ 5TH SIB CAMP I,1.380619272,103.697355
OPP BLK 204 CP,1.388659617,103.8951128
OPP AL-MUTTAQIN MQUE,1.370158304,103.8453247
BLK 490,1.349803213,103.7272835
AFT ALJUNIED STN,1.315333825,103.8834446
BLK 429A CP,1.383287537,103.7409389
OPP MANDAI CAMP 2,1.410565648,103.7745563
OPP INTL BUSINESS PK,1.327699857,103.7448393
Bef Blk 471B,1.377507567,103.9007164
QUEENS CONDO,1.292941592,103.8070579
BLK 311A,1.390523995,103.8843333
OPP THE FISHERMAN CH,1.299568829,103.8031975
AFT ROCHALIE DR,1.302505446,103.8197202
STAMFORD TYRE,1.323041695,103.6865268
AFT TRACK 22,1.354024169,103.7285421
BEF YISHUN AVE 6,1.42298343,103.851397
STADIUM STN,1.301581965,103.8754407
NAVAL BASE PR SCH,1.415892528,103.8394735
NEWTON FC,1.312085457,103.8402195
BLK 722,1.44570134,103.7996094
OPP RAFFLES INSTN,1.346972618,103.847105
BLK 241,1.432246874,103.8399136
MARINA STH PIER STN,1.271225263,103.8629306
OPP ANG MO KIO CMTY HOSP,1.38334137,103.8405977
GOLDEN MILE CPLX,1.303155612,103.8649779
OPP BLK 106,1.436901521,103.7827442
OPP BT VIEW SEC SCH,1.344796932,103.7520565
AFT YIO CHU KANG RD,1.376750818,103.8285154
OPP BLK 201,1.430164079,103.8378028
AFT KG EUNOS,1.317771097,103.9063496
AFT TOH TUCK TERR,1.339437636,103.7682489
CATHOLIC JC,1.325867844,103.8344627
KALLANG STN / OPP BLK 2C,1.312578563,103.8715256
S.A. DEAF,1.307541793,103.8797354
BLK 512,1.309670084,103.7600207
BLK 73,1.333950579,103.8514764
BLK 367,1.338324892,103.7192358
BLK 45,1.329162127,103.9246647
AFT LOR 1 GEYLANG,1.312497335,103.8731963
BLK 713,1.382295375,103.938559
OPP GARLICK VILLE,1.325630132,103.7930517
OPP LAKEPOINT CONDO,1.340147952,103.7160215
BLK 416,1.352357973,103.7255281
OPP SP SMA,1.309500356,103.7821001
BLK 124,1.33453807,103.7385615
