id,lon,lat
Block 1 BEACH RD Singapore,103.8645,1.303488
Block 1 BEDOK STH AVE 1 Singapore,103.9337,1.320875
Block 1 CHAI CHEE RD Singapore,103.9225418,1.3280646
Block 1 CHANGI VILLAGE RD Singapore,103.987,1.388322
Block 1 DELTA AVE Singapore,103.8286,1.292136
Block 1 DOVER RD Singapore,103.7833667,1.3025543
Block 1 EVERTON PK Singapore,103.8400926,1.2774397
Block 1 GHIM MOH RD Singapore,103.7868,1.312911
Block 1 HAIG RD Singapore,103.8977,1.311203
Block 1 HOUGANG AVE 3 Singapore,103.8929,1.364165
Block 1 JLN BT MERAH Singapore,103.8081,1.286579
Block 1 KG KAYU RD Singapore,103.883815,1.3036012
Block 1 LOR 7 TOA PAYOH Singapore,103.8534644,1.3394079
Block 1 LOR LEW LIAN Singapore,103.8753,1.350781
Block 1 MARINE TER Singapore,103.9186,1.304868
Block 1 MARSILING DR Singapore,103.7757,1.44063
Block 1 PINE CL Singapore,103.8832694,1.3079191
Block 1 QUEEN'S RD Singapore,103.8068,1.31735
Block 1 ST. GEORGE'S RD Singapore,103.8616,1.323424
Block 1 TECK WHYE AVE Singapore,103.7518,1.382565
Block 1 TELOK BLANGAH CRES Singapore,103.818,1.279546
Block 1 TG PAGAR PLAZA Singapore,103.8426344,1.2748632
Block 1 TOH YI DR Singapore,103.7747655,1.3395672
Block 10 CHAI CHEE RD Singapore,103.9245,1.327088
Block 10 EUNOS CRES Singapore,103.9025671,1.3223009
Block 10 GLOUCESTER RD Singapore,103.8522,1.313965
Block 10 HAIG RD Singapore,103.8958,1.314798
Block 10 HOLLAND AVE Singapore,103.7943227,1.3082732
Block 10 JLN BATU Singapore,103.8829,1.30207
Block 10 JLN BT HO SWEE Singapore,103.8328,1.287505
Block 10 JLN KUKOH Singapore,103.8391,1.286941
Block 10 JLN RUMAH TINGGI Singapore,103.8084,1.288298
Block 10 JOO SENG RD Singapore,103.8802,1.334669
Block 10 LOR 7 TOA PAYOH Singapore,103.8571807,1.3371227
Block 10 MARSILING DR Singapore,103.7773,1.440805
Block 10 PINE CL Singapore,103.8823,1.309167
Block 10 SELEGIE RD Singapore,103.8506,1.303715
Block 10 ST. GEORGE'S RD Singapore,103.8634,1.323789
Block 10 TECK WHYE AVE Singapore,103.7554,1.380253
Block 10 TELOK BLANGAH CRES Singapore,103.8198,1.277853
Block 10 TOH YI DR Singapore,103.7733,1.337678
Block 100 BEDOK NTH AVE 4 Singapore,103.9388,1.334268
Block 100 C'WEALTH CRES Singapore,103.8011339,1.30777
Block 100 LOR 1 TOA PAYOH Singapore,103.848502,1.3395648
Block 100 WHAMPOA DR Singapore,103.8543703,1.3207392
Block 101 AH HOOD RD Singapore,103.8445,1.327382
Block 101 ALJUNIED CRES Singapore,103.8834,1.320899
Block 101 ANG MO KIO AVE 3 Singapore,103.8394,1.370249
Block 101 BEDOK NTH AVE 4 Singapore,103.937801,1.333979
Block 101 BEDOK RESERVOIR RD Singapore,103.909845,1.3284164
Block 101 BISHAN ST 12 Singapore,103.8485,1.344909
Block 101 BT BATOK WEST AVE 6 Singapore,103.7469,1.346813
Block 101 BT PURMEI RD Singapore,103.825747,1.2715396
Block 101 C'WEALTH CRES Singapore,103.8008424,1.3081635
Block 101 CLEMENTI ST 14 Singapore,103.7689,1.322102
Block 101 GANGSA RD Singapore,103.7675,1.379393
Block 101 HENDERSON CRES Singapore,103.8217,1.290711
Block 101 HOUGANG AVE 1 Singapore,103.8914,1.355295
Block 101 JLN RAJAH Singapore,103.8500447,1.3288687
Block 101 JURONG EAST ST 13 Singapore,103.7388277,1.3370698
Block 101 LENGKONG TIGA Singapore,103.9109,1.325173
Block 101 PASIR RIS ST 12 Singapore,103.958,1.367085
Block 101 POTONG PASIR AVE 1 Singapore,103.8685,1.332959
Block 101 RIVERVALE WALK Singapore,103.8995,1.382678
Block 101 SERANGOON NTH AVE 1 Singapore,103.8703,1.371066
Block 101 SIMEI ST 1 Singapore,103.9518794,1.3411804
Block 101 TAMPINES ST 11 Singapore,103.9453,1.34744
Block 101 TECK WHYE LANE Singapore,103.7544,1.377931
Block 101 TOWNER RD Singapore,103.861,1.319308
Block 101 WHAMPOA DR Singapore,103.8538,1.320521
Block 101 WOODLANDS ST 13 Singapore,103.7819,1.435935
Block 101 YISHUN AVE 5 Singapore,103.8278,1.430956
Block 101A LOR 2 TOA PAYOH Singapore,103.8471,1.339681
Block 101A PUNGGOL FIELD Singapore,103.906,1.397987
Block 101B LOR 2 TOA PAYOH Singapore,103.8474,1.340564
Block 101B PUNGGOL FIELD Singapore,103.9063,1.397781
Block 101C PUNGGOL FIELD Singapore,103.9066,1.398191
Block 101D PUNGGOL FIELD Singapore,103.9062,1.398558
Block 102 ALJUNIED CRES Singapore,103.8825738,1.3204458
Block 102 ANG MO KIO AVE 3 Singapore,103.8392,1.370616
Block 102 BEDOK NTH AVE 4 Singapore,103.9375,1.333873
Block 102 BEDOK RESERVOIR RD Singapore,103.9093,1.328529
